packageName,flowEntity,flowData,policyEntity,policyAction,policyData,policySentences,consistencyResult,entityVagueness,entityVaguenessRaw,dataVagueness,dataVaguenessRaw,contradictionNum,contradictoryEntity,contradictoryAction,contradictoryData,contradictionSentences
com.apnax.wordsnack.hu,flurry,advertising identifier,third party,collect,pii,Below follows a more detailed description on how we and our partners use personal data.,vague,0.6666666666666666,2,0.5,2,,,,,
com.apnax.wordsnack.hu,flurry,android id,third party,collect,pii,Below follows a more detailed description on how we and our partners use personal data.,vague,0.6666666666666666,2,0.5,2,,,,,
howto.draw.book.coloring.beyblade.gamesart,unity,android id,,,,,omitted,,,,,,,,,
com.superdancer.fun,we,imei,,,,,omitted,,,,,,,,,
com.superdancer.fun,we,advertising identifier,,,,,omitted,,,,,,,,,
com.superdancer.fun,we,android id,,,,,omitted,,,,,,,,,
com.superdancer.fun,appsflyer,imei,,,,,omitted,,,,,,,,,
com.superdancer.fun,appsflyer,advertising identifier,,,,,omitted,,,,,,,,,
com.superdancer.fun,appsflyer,android id,,,,,omitted,,,,,,,,,
com.superdancer.fun,unity,android id,,,,,omitted,,,,,,,,,
com.zimad.starcrusade,unity,imei,advertising network,collect,pii,"We and our advertising partners collect and share personal information with each other, so our advertising partners can decide to bid on ad inventory and serve ads best personalized for you.",vague,0.3333333333333333,1,0.5,2,,,,,
com.zimad.starcrusade,unity,advertising identifier,advertising network,collect,pii,"We and our advertising partners collect and share personal information with each other, so our advertising partners can decide to bid on ad inventory and serve ads best personalized for you.",vague,0.3333333333333333,1,0.5,2,,,,,
com.programming.progressive.diagnoseapp,unity,android id,,,,,omitted,,,,,,,,,
com.programming.progressive.diagnoseapp,unity,advertising identifier,,,,,omitted,,,,,,,,,
com.homey.app,crashlytics,advertising identifier,third party,collect,pii,"Personal information of children under thirteen is never shared with third parties or publicly, except that parents and children who use the Service may be able to access their children's personal information.",vague,0.6666666666666666,2,0.5,2,,,,,
com.homey.app,crashlytics,android id,third party,collect,pii,"Personal information of children under thirteen is never shared with third parties or publicly, except that parents and children who use the Service may be able to access their children's personal information.",vague,0.6666666666666666,2,0.5,2,,,,,
com.jeep.companion,crashlytics,advertising identifier,third party,collect,pii,"We may share or disclose personal information to our vendors and others who we work with to make certain services available, such as: affiliates and subsidiaries: we may share your personal information with our affiliate and subsidiary companies, who may use and disclose your personal information in accordance with this Privacy Policy.||We may share or disclose personal information to our vendors and others who we work with to make certain services available, such as: vendors and service providers: we may disclose personal information to our third-party vendors, service providers, contractors, or agents who process such data in order to provide services to us or to perform functions on our behalf.||We may share or disclose personal information to our vendors and others who we work with to make certain services available, such as: third-party services and providers: some of the Services we make available to you may be provided or supported by third parties (e.g., cellular data carriers, navigation and traffic services), who may collect and receive personal information about you as part of their provision of the particular feature, service, or application, or in order to respond to a request you make via the Services.||Any time you order from a third-party business, that business will collect your personal information as part of your order.||We may share personal information with dealers and other select third parties, for marketing, research and analytics purposes.||Marketing and advertising partners: we may share your personal information with third parties that provide advertising, campaign measurement, analytics, and related services to us.||If you choose to participate in one of these programs or third-party offers or indicate your interest in receiving information about the third-party offer, we may share your personal information with that third party to facilitate your request.||We also may share your personal information with certain third parties so that they may send you offers and other information we think you may be interested in.",vague,0.6666666666666666,2,0.5,2,,,,,
com.jeep.companion,crashlytics,android id,third party,collect,pii,"We may share or disclose personal information to our vendors and others who we work with to make certain services available, such as: affiliates and subsidiaries: we may share your personal information with our affiliate and subsidiary companies, who may use and disclose your personal information in accordance with this Privacy Policy.||We may share or disclose personal information to our vendors and others who we work with to make certain services available, such as: vendors and service providers: we may disclose personal information to our third-party vendors, service providers, contractors, or agents who process such data in order to provide services to us or to perform functions on our behalf.||We may share or disclose personal information to our vendors and others who we work with to make certain services available, such as: third-party services and providers: some of the Services we make available to you may be provided or supported by third parties (e.g., cellular data carriers, navigation and traffic services), who may collect and receive personal information about you as part of their provision of the particular feature, service, or application, or in order to respond to a request you make via the Services.||Any time you order from a third-party business, that business will collect your personal information as part of your order.||We may share personal information with dealers and other select third parties, for marketing, research and analytics purposes.||Marketing and advertising partners: we may share your personal information with third parties that provide advertising, campaign measurement, analytics, and related services to us.||If you choose to participate in one of these programs or third-party offers or indicate your interest in receiving information about the third-party offer, we may share your personal information with that third party to facilitate your request.||We also may share your personal information with certain third parties so that they may send you offers and other information we think you may be interested in.",vague,0.6666666666666666,2,0.5,2,,,,,
com.thomasroyer.lapetanqueV3,unity,android id,,,,,omitted,,,,,,,,,
com.thomasroyer.lapetanqueV3,unity,advertising identifier,,,,,omitted,,,,,,,,,
com.nimblebit.tinytower,sponsorpay,advertising identifier,,,,,omitted,,,,,,,,,
com.nimblebit.tinytower,chartboost,advertising identifier,,,,,omitted,,,,,,,,,
com.nimblebit.tinytower,chartboost,android id,,,,,omitted,,,,,,,,,
com.nimblebit.tinytower,flurry,advertising identifier,,,,,omitted,,,,,,,,,
com.nimblebit.tinytower,flurry,android id,,,,,omitted,,,,,,,,,
com.nimblebit.tinytower,applovin,advertising identifier,,,,,omitted,,,,,,,,,
com.nimblebit.tinytower,vungle,advertising identifier,,,,,omitted,,,,,,,,,
com.nimblebit.tinytower,adcolony,advertising identifier,,,,,omitted,,,,,,,,,
com.nimblebit.tinytower,fyber,advertising identifier,,,,,omitted,,,,,,,,,
com.nimblebit.tinytower,unity,advertising identifier,,,,,omitted,,,,,,,,,
com.nimblebit.tinytower,hyprmx,advertising identifier,,,,,omitted,,,,,,,,,
fr.apprize.plusoumoins,mopub,advertising identifier,,,,,omitted,,,,,,,,,
fr.apprize.plusoumoins,applovin,advertising identifier,,,,,omitted,,,,,,,,,
world.easysolution.pddcrossing,flurry,android id,,,,,omitted,,,,,,,,,
com.a25apps.HillClimber,we,advertising identifier,we,collect,pii,"In this Privacy Policy we explain who we are, how we collect, share and use your personal information.||If we discover we has inadvertently gathered personal information from a child under 16 years of age, we will take reasonable measures to promptly delete such personal information from our records.",vague,0.0,0.0,0.5,2,,,,,
com.a25apps.HillClimber,we,android id,we,collect,pii,"In this Privacy Policy we explain who we are, how we collect, share and use your personal information.||If we discover we has inadvertently gathered personal information from a child under 16 years of age, we will take reasonable measures to promptly delete such personal information from our records.",vague,0.0,0.0,0.5,2,,,,,
com.a25apps.HillClimber,unity,android id,,,,,omitted,,,,,,,,,
com.a25apps.HillClimber,unity,advertising identifier,,,,,omitted,,,,,,,,,
com.a25apps.HillClimber,facebook,advertising identifier,,,,,omitted,,,,,,,,,
biblical.names.with_meaning.AOUXGEBHJUDAEGLCF,crashlytics,advertising identifier,,,,,omitted,,,,,,,,,
biblical.names.with_meaning.AOUXGEBHJUDAEGLCF,crashlytics,android id,,,,,omitted,,,,,,,,,
com.impossible.tracks.real.race.games,heyzap,advertising identifier,advertising network,collect,device identifier,"The advertisers may collect and use information about you, such as your Service session activity, device identifier, MAC address, IMEI, geo-location information and IP address.||In order to verify the installs, a device identifier may be shared with the advertiser.",vague,0.3333333333333333,1,0.25,1,,,,,
com.impossible.tracks.real.race.games,unity,advertising identifier,advertising network,collect,device identifier,"The advertisers may collect and use information about you, such as your Service session activity, device identifier, MAC address, IMEI, geo-location information and IP address.||In order to verify the installs, a device identifier may be shared with the advertiser.",vague,0.3333333333333333,1,0.25,1,,,,,
com.impossible.tracks.real.race.games,unity,android id,advertising network,collect,device identifier,"The advertisers may collect and use information about you, such as your Service session activity, device identifier, MAC address, IMEI, geo-location information and IP address.||In order to verify the installs, a device identifier may be shared with the advertiser.",vague,0.3333333333333333,1,0.25,1,,,,,
com.matchicardgames.beesweepernewmatch3games,unity,advertising identifier,,,,,omitted,,,,,,,,,
com.matchicardgames.beesweepernewmatch3games,chartboost,advertising identifier,,,,,omitted,,,,,,,,,
com.matchicardgames.beesweepernewmatch3games,chartboost,android id,,,,,omitted,,,,,,,,,
com.matchicardgames.beesweepernewmatch3games,unity,android id,,,,,omitted,,,,,,,,,
com.matchicardgames.beesweepernewmatch3games,applovin,advertising identifier,,,,,omitted,,,,,,,,,
com.mystylinglounge.android_messyprincess,mopub,geographical location,,,,,omitted,,,,,,,,,
com.mystylinglounge.android_messyprincess,mopub,advertising identifier,,,,,omitted,,,,,,,,,
com.mystylinglounge.android_messyprincess,chartboost,advertising identifier,,,,,omitted,,,,,,,,,
com.mystylinglounge.android_messyprincess,chartboost,android id,,,,,omitted,,,,,,,,,
com.mystylinglounge.android_messyprincess,flurry,advertising identifier,,,,,omitted,,,,,,,,,
com.mystylinglounge.android_messyprincess,flurry,android id,,,,,omitted,,,,,,,,,
desi.freechat,we,android id,,,,,omitted,,,,,,,,,
batterydoctor.batterycharger.fastcharging,facebook,advertising identifier,,,,,omitted,,,,,,,,,
com.nightboost.kids.animals.lite,unity,android id,,,,,omitted,,,,,,,,,
com.superadventuregames.candyfestival.free,unity,android id,,,,,omitted,,,,,,,,,
com.superadventuregames.candyfestival.free,unity,advertising identifier,,,,,omitted,,,,,,,,,
com.beyondmenu,facebook,advertising identifier,third party,collect,pii,"The Company may use Personal Data for the following purposes: to provide and maintain our Service, including to monitor the usage of our Service.||The Company may use Personal Data for the following purposes: to manage Your Account: to manage Your registration as a user of the Service.||The Company may use Personal Data for the following purposes: for the performance of a contract: the development, compliance and undertaking of the purchase contract for the products, items or services You have purchased or of any other contract with Us through the Service.||The Company may use Personal Data for the following purposes: to contact You: To contact You by email, telephone calls, SMS, or other equivalent forms of electronic communication, such as a mobile application's push notifications regarding updates or informative communications related to the functionalities, products or contracted services, including the security updates, when necessary or reasonable for their implementation.||The Company may use Personal Data for the following purposes: to provide You with news, special offers and general information about other menu items, services and events which we offer that are similar to those that you have already purchased or enquired about unless You have opted not to receive such information.||The Company may use Personal Data for the following purposes: to manage Your requests: To attend and manage Your requests to Us.||We may share your personal information in the following situations: with Service Providers: We may share Your personal information with Service Providers to monitor and analyze the use of our Service, for payment processing, to contact You.||We may share your personal information in the following situations: for Business transfers: We may share or transfer Your personal information in connection with, or during negotiations of, any merger, sale of Company assets, financing, or acquisition of all or a portion of our business to another company.||We may share your personal information in the following situations: with Affiliates: We may share Your information with Our affiliates, in which case we will require those affiliates to honor this Privacy Policy.||We may share your personal information in the following situations: with Business partners: We may share Your information with Our business partners to offer You certain products, services or promotions.||The Company may disclose Your Personal Data in the good faith belief that such action is necessary to comply with a legal obligation||The Company may disclose Your Personal Data in the good faith belief that such action is necessary to protect and defend the rights or property of the Company||The Company may disclose Your Personal Data in the good faith belief that such action is necessary to prevent or investigate possible wrongdoing in connection with the Service||The Company may disclose Your Personal Data in the good faith belief that such action is necessary to protect the personal safety of Users of the Service or the public||The Company may disclose Your Personal Data in the good faith belief that such action is necessary to protect against legal liability||These providers use your personal information solely to carry out the services they provide to Beyond Menu.",vague,0.6666666666666666,2,0.5,2,,,,,
